"","ColonyID","Timepoint","Initial_mass_g","Dry_mass_g","Burnt_mass_g","X","Species","Phenotype","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes","dry_mass_g_mL","burnt_mass_g_mL","dry_biomass_g","dw_mg_cm2","ash_biomass_g","afdw_mg_cm2"
"1","1","April_2023",0.3947,0.4095,0.4081,1,"Montipora capitata","Susceptible",5.063,5.827,0.764,22.9137036334046,"",20.475,20.405,20.0803,876.344580573437,0.0699999999999967,3.05494044611573
"2","2","April_2023",0.3961,0.4099,0.4091,2,"Montipora capitata","Resistant",3.095,3.401,0.306,9.17747815683483,"",20.495,20.455,20.0989,2190.02428080219,0.0399999999999991,4.35849579987391
"3","3","April_2023",0.4003,0.4136,0.4131,3,"Montipora capitata","Susceptible",1.224,1.38,0.156,4.67871435446482,"",20.68,20.655,20.2797,4334.45995279609,0.0249999999999986,5.34334821619137
"4","4","April_2023",0.4024,0.4159,0.4151,4,"Montipora capitata","Resistant",2.478,2.802,0.324,9.71732981311924,"",20.795,20.755,20.3926,2098.58061753428,0.0399999999999956,4.11635714432499
"5","11","April_2023",0.4016,0.415,0.414,5,"Montipora capitata","Susceptible",1.445,1.666,0.221,6.62817866882516,"",20.75,20.7,20.3484,3069.98362849002,0.0500000000000007,7.54355042285895
"6","12","April_2023",0.4015,0.4145,0.4138,6,"Montipora capitata","Resistant",1.365,1.606,0.241,7.2280138424745,"",20.725,20.69,20.3235,2811.76827312803,0.0349999999999966,4.84227074861472
"7","15","April_2023",0.4002,0.4143,0.413,7,"Montipora capitata","Susceptible",2.141,2.375,0.234,7.01807153169723,"",20.715,20.65,20.3148,2894.64134246109,0.0650000000000013,9.26180357473243
"8","16","April_2023",0.4036,0.4179,0.4168,8,"Montipora capitata","Resistant",3.246,3.672,0.426,12.7764891987309,"",20.895,20.84,20.4914,1603.83652201071,0.0549999999999997,4.30478194318537
"9","19","April_2023",0.4005,0.4145,0.4134,9,"Montipora capitata","Susceptible",2.594,3.308,0.714,21.4141156992813,"",20.725,20.67,20.3245,949.116941620061,0.0549999999999997,2.56839931064002
"10","20","April_2023",0.3974,0.4116,0.4104,10,"Montipora capitata","Resistant",2.992,3.368,0.376,11.2769012646075,"",20.58,20.52,20.1826,1789.7292462197,0.0600000000000023,5.32061056420809
"11","26","April_2023",0.4039,0.4182,0.4166,11,"Porites compressa","Resistant",4.209,4.498,0.289000000000001,8.66761825923292,"",20.91,20.83,20.5061,2365.82869557695,0.0799999999999983,9.22975581149766
"12","27","April_2023",0.3977,0.4124,0.4111,12,"Porites compressa","Susceptible",3.963,4.394,0.431,12.9264479921432,"",20.62,20.555,20.2223,1564.41274604526,0.0650000000000013,5.02845020066679
"13","28","April_2023",0.4065,0.4208,0.4192,13,"Porites compressa","Resistant",4.039,4.418,0.379,11.3668765406549,"",21.04,20.96,20.6335,1815.23041322759,0.0799999999999983,7.03799321773835
"14","29","April_2023",0.3976,0.4122,0.4105,14,"Porites compressa","Susceptible",6.776,7.175,0.399,11.9667117143043,"",20.61,20.525,20.2124,1689.05213750903,0.0850000000000009,7.10303732799018
"15","41","April_2023",0.4028,0.4168,0.4156,15,"Porites compressa","Susceptible",3.722,3.986,0.264,7.91782429217124,"",20.84,20.78,20.4372,2581.1636184207,0.0599999999999987,7.57783928841712
"16","42","April_2023",0.3946,0.4089,0.4076,16,"Porites compressa","Resistant",4.502,4.63,0.128,3.83894511135575,"",20.445,20.38,20.0504,5222.89311735407,0.0649999999999977,16.9317346600568
"17","43","April_2023",0.3961,0.4107,0.4091,17,"Porites compressa","Susceptible",5.168,5.596,0.428,12.8364727160958,"",20.535,20.455,20.1389,1568.88114401923,0.0799999999999983,6.23224165776361
"18","44","April_2023",0.405,0.4187,0.4178,18,"Porites compressa","Resistant",2.731,2.912,0.181,5.42850832152649,"",20.935,20.89,20.53,3781.8860696205,0.0450000000000017,8.28957005031315
"19","45","April_2023",0.4008,0.4155,0.414,19,"Porites compressa","Susceptible",6.792,7.221,0.429,12.8664644747783,"",20.775,20.7,20.3742,1583.51193056483,0.0749999999999993,5.8291071449363
"20","46","April_2023",0.4014,0.4169,0.4153,20,"Porites compressa","Resistant",7.104,7.386,0.282,8.45767594845564,"",20.845,20.765,20.4436,2417.16520289867,0.0799999999999983,9.45886322525826
"21","201","April_2023",0.4034,0.4181,0.417,21,"Montipora capitata","Susceptible",2.863,3.195,0.332,9.95726388257897,"",20.905,20.85,20.5016,2058.95919218021,0.0550000000000033,5.52360574637679
"22","202","April_2023",0.3953,0.4094,0.4088,22,"Montipora capitata","Resistant",2.164,2.434,0.27,8.09777484426604,"",20.47,20.44,20.0747,2479.0390429557,0.0299999999999976,3.7047214298926
"23","203","April_2023",0.3992,0.4143,0.4129,23,"Montipora capitata","Susceptible",2.641,3.017,0.376,11.2769012646075,"",20.715,20.645,20.3158,1801.54100167224,0.0700000000000003,6.2073789915759
"24","204","April_2023",0.4008,0.4154,0.4143,24,"Montipora capitata","Resistant",2,2.219,0.219,6.56819515146022,"",20.77,20.715,20.3692,3101.18678423731,0.0549999999999997,8.37368542373049
"25","206","April_2023",0.4002,0.4151,0.414,25,"Montipora capitata","Resistant",2.73,3.111,0.381,11.4268600580199,"",20.755,20.7,20.3548,1781.31174239016,0.0550000000000033,4.81322075537293
"26","207","April_2023",0.3976,0.412,0.4112,26,"Montipora capitata","Susceptible",1.956,2.252,0.296,8.87756057001017,"",20.6,20.56,20.2024,2275.67019573451,0.0399999999999956,4.50574227959897
"27","208","April_2023",0.4014,0.416,0.4152,27,"Montipora capitata","Resistant",1.915,2.285,0.37,11.0969507125127,"",20.8,20.76,20.3986,1838.21668929276,0.0399999999999991,3.6045938236795
"28","209","April_2023",0.4005,0.4151,0.414,28,"Montipora capitata","Susceptible",2.212,2.546,0.334,10.0172473999439,"",20.755,20.7,20.3545,2031.94542246346,0.0550000000000033,5.49053026286555
"29","210","April_2023",0.3997,0.4142,0.413,29,"Montipora capitata","Resistant",1.923,2.214,0.291,8.72760177659783,"",20.71,20.65,20.3103,2327.13413373878,0.0600000000000023,6.87474079773966
"30","211","April_2023",0.3983,0.4121,0.4111,30,"Montipora capitata","Susceptible",2.733,3.022,0.289,8.6676182592329,"",20.605,20.555,20.2067,2331.28633445243,0.0500000000000007,5.76859738218626
"31","212","April_2023",0.4009,0.4152,0.414,31,"Montipora capitata","Resistant",1.693,2.007,0.314,9.41741222629457,"",20.76,20.7,20.3591,2161.85715468151,0.0600000000000023,6.37117698134472
"32","213","April_2023",0.3995,0.4143,0.4129,32,"Montipora capitata","Susceptible",3.567,3.797,0.23,6.89810449696736,"",20.715,20.645,20.3155,2945.08440817784,0.0700000000000003,10.147715221011
"33","214","April_2023",0.4033,0.4177,0.4166,33,"Montipora capitata","Resistant",2.651,2.879,0.228,6.83812097960244,"",20.885,20.83,20.4817,2995.22340436726,0.0549999999999997,8.04314520963584
"34","217","April_2023",0.4022,0.4159,0.4152,34,"Montipora capitata","Susceptible",1.49,1.8,0.31,9.29744519156471,"",20.795,20.76,20.3928,2193.3767373538,0.0349999999999966,3.76447500134241
"35","218","April_2023",0.4007,0.4149,0.414,35,"Montipora capitata","Resistant",1.879,2.074,0.195,5.84839294308102,"",20.745,20.7,20.3443,3478.61373166939,0.0450000000000017,7.69442143131632
"36","219","April_2023",0.4049,0.419,0.4181,36,"Montipora capitata","Susceptible",2.137,2.311,0.174,5.21856601074922,"",20.95,20.905,20.5451,3936.92442668755,0.0449999999999982,8.62305850061243
"37","220","April_2023",0.3995,0.4141,0.4127,37,"Montipora capitata","Resistant",2.866,3.079,0.213,6.38824459936543,"",20.705,20.635,20.3055,3178.5727180855,0.0700000000000003,10.957626764472
"38","221","April_2023",0.406,0.4209,0.4201,38,"Montipora capitata","Susceptible",4.027,4.216,0.189,5.66844239098623,"",21.045,21.005,20.639,3641.03550435997,0.0399999999999991,7.05661224741489
"39","222","April_2023",0.4023,0.4163,0.4156,39,"Montipora capitata","Resistant",1.541,1.7,0.159,4.76868963051222,"",20.815,20.78,20.4127,4280.5679508665,0.0350000000000001,7.33954245544822
"40","225","April_2023",0.4002,0.4153,0.4139,40,"Porites compressa","Susceptible",6.069,6.308,0.239,7.16803032510956,"",20.765,20.695,20.3648,2841.0594091186,0.0700000000000003,9.76558368549178
"41","226","April_2023",0.3977,0.4127,0.4112,41,"Porites compressa","Resistant",5.852,6.041,0.189,5.66844239098623,"",20.635,20.56,20.2373,3570.16947586531,0.0749999999999993,13.2311479639031
"42","233","April_2023",0.4029,0.4178,0.4165,42,"Porites compressa","Susceptible",6.432,6.774,0.342,10.2571814694036,"",20.89,20.825,20.4871,1997.34206332524,0.0650000000000013,6.33702349850116
"43","234","April_2023",0.4016,0.4176,0.4156,43,"Porites compressa","Resistant",9.201,9.483,0.282,8.45767594845564,"",20.88,20.78,20.4784,2421.27980840166,0.100000000000001,11.8235790315732
"44","235","April_2023",0.4017,0.4187,0.4159,44,"Porites compressa","Susceptible",8.01,8.643,0.633000000000001,18.9847832460015,"",20.935,20.795,20.5333,1081.56620667895,0.140000000000004,7.37432701684863
"45","236","April_2023",0.4031,0.419,0.4172,45,"Porites compressa","Resistant",4.782,5.027,0.245,7.34798087720437,"",20.95,20.86,20.5469,2796.26476216652,0.0899999999999999,12.2482626865847
"46","237","April_2023",0.399,0.4142,0.4129,46,"Porites compressa","Susceptible",2.238,2.456,0.218,6.53820339277776,"",20.71,20.645,20.311,3106.51088377519,0.0650000000000013,9.94156897471279
"47","238","April_2023",0.4023,0.4182,0.4169,47,"Porites compressa","Resistant",2.137,2.353,0.216,6.47821987541283,"",20.91,20.845,20.5077,3165.63815282561,0.0650000000000013,10.0336205392935
"48","240","April_2023",0.4015,0.4172,0.4157,48,"Porites compressa","Resistant",5.502,5.968,0.466,13.9761595460295,"",20.86,20.785,20.4585,1463.81414240596,0.0749999999999993,5.36628104115383
"49","241","April_2023",0.3994,0.4149,0.4134,49,"Porites compressa","Susceptible",5.465,5.635,0.17,5.09859897601935,"",20.745,20.67,20.3456,3990.42954656624,0.0750000000000028,14.7099233245753
"50","242","April_2023",0.4052,0.4199,0.4185,50,"Porites compressa","Resistant",2.897,3.128,0.231,6.92809625564984,"",20.995,20.925,20.5898,2971.92753106008,0.0700000000000003,10.1037857178897
"51","243","April_2023",0.4029,0.4175,0.4164,51,"Porites compressa","Susceptible",2.091,2.153,0.0619999999999998,1.85948903831294,"",20.875,20.82,20.4721,11009.5298107128,0.0549999999999997,29.5780178676932
"52","248","April_2023",0.3989,0.4152,0.4132,52,"Porites compressa","Resistant",6.285,6.732,0.447,13.4063161310627,"",20.76,20.66,20.3611,1518.76919811125,0.100000000000001,7.45917066421397
"53","1","September_2023",0.3854,0.3992,0.3977,53,"Montipora capitata","Susceptible",2.93,3.448,0.518,12.302676257176,"",19.96,19.885,19.5746,1591.08470310128,0.0749999999999993,6.09623454541061
"54","2","September_2023",0.3782,0.3911,0.3905,54,"Montipora capitata","Resistant",2.856,3.267,0.411,9.76138984884044,"",19.555,19.525,19.1768,1964.5563077555,0.0299999999999976,3.0733328413844
"55","3","September_2023",0.3923,0.4057,0.4054,55,"Montipora capitata","Susceptible",2.226,2.609,0.383,9.09638032142552,"",20.285,20.27,19.8927,2186.88085777866,0.0150000000000006,1.64900756894143
"56","4","September_2023",0.3885,0.4017,0.4003,56,"Montipora capitata","Resistant",3.976,4.366,0.39,9.26263270327924,"",20.085,20.015,19.6965,2126.44726731169,0.0700000000000003,7.55724665355869
"57","19","September_2023",0.3894,0.4025,0.4014,57,"Montipora capitata","Susceptible",2.762,3.115,0.353,8.38387011348096,"",20.125,20.07,19.7356,2353.99639222295,0.0549999999999997,6.56021613593008
"58","20","September_2023",0.3896,0.4023,0.4017,58,"Montipora capitata","Resistant",2.054,2.405,0.351,8.33636943295132,"",20.115,20.085,19.7254,2366.18592285882,0.0299999999999976,3.59868888264669
"59","26","September_2023",0.3844,0.4002,0.3989,59,"Porites compressa","Resistant",2.174,2.368,0.194,4.6075660113748,"",20.01,19.945,19.6256,4259.42893743678,0.0650000000000013,14.1072314188303
"60","27","September_2023",0.3815,0.3942,0.3936,60,"Porites compressa","Susceptible",2.733,3.043,0.31,7.36260548209376,"",19.71,19.68,19.3285,2625.22554644656,0.0300000000000011,4.07464450906173
"61","28","September_2023",0.3899,0.4029,0.4018,61,"Porites compressa","Resistant",2.791,3.113,0.322,7.64760956527158,"",20.145,20.09,19.7551,2583.17319044496,0.0549999999999997,7.19178973907863
"62","29","September_2023",0.3825,0.3964,0.3955,62,"Porites compressa","Susceptible",2.337,2.529,0.192,4.56006533084516,"",19.82,19.775,19.4375,4262.54857984622,0.0449999999999982,9.86827967038312
"63","41","September_2023",0.3799,0.3917,0.3912,63,"Porites compressa","Susceptible",2.807,3.106,0.299,7.10135173918075,"",19.585,19.56,19.2051,2704.42877713527,0.0250000000000021,3.52045651563321
"64","42","September_2023",0.3837,0.3965,0.3959,64,"Porites compressa","Resistant",1.548,1.707,0.159,3.77630410210615,"",19.825,19.795,19.4413,5148.2347486679,0.0300000000000011,7.94427545791911
"65","43","September_2023",0.3836,0.3984,0.3972,65,"Porites compressa","Susceptible",3.499,3.871,0.372,8.83512657851251,"",19.92,19.86,19.5364,2211.21902741196,0.0599999999999987,6.79107418176915
"66","44","September_2023",0.3843,0.3982,0.3976,66,"Porites compressa","Resistant",1.858,2.077,0.219,5.20132451799527,"",19.91,19.88,19.5257,3753.98611112343,0.0300000000000011,5.76776163383167
"67","45","September_2023",0.3829,0.3953,0.3942,67,"Porites compressa","Susceptible",2.338,2.587,0.249,5.91383472593983,"",19.765,19.71,19.3821,3277.41658301413,0.0549999999999997,9.30022608828641
"68","46","September_2023",0.3834,0.3976,0.3964,68,"Porites compressa","Resistant",3.215,3.732,0.517,12.2789259169112,"",19.88,19.82,19.4966,1587.80988923048,0.0599999999999987,4.88642088127297
"69","201","September_2023",0.3774,0.3915,0.3907,69,"Montipora capitata","Susceptible",2.65,3.025,0.375,8.90637759930697,"",19.575,19.535,19.1976,2155.48911843731,0.0399999999999991,4.49116372554333
"70","202","September_2023",0.381,0.3959,0.3946,70,"Montipora capitata","Resistant",3.236,3.66,0.424,10.0701442722831,"",19.795,19.73,19.414,1927.87704675044,0.0649999999999977,6.45472380955878
"71","203","September_2023",0.3845,0.3989,0.3965,71,"Montipora capitata","Susceptible",3.481,3.945,0.464,11.0201578828758,"",19.945,19.825,19.5605,1774.97457004632,0.120000000000001,10.8891361880095
"72","204","September_2023",0.3756,0.3883,0.3875,72,"Montipora capitata","Resistant",2.606,2.988,0.382,9.0726299811607,"",19.415,19.375,19.0394,2098.55356600405,0.0399999999999991,4.40886491381871
"73","205","September_2023",0.3814,0.3943,0.3937,73,"Montipora capitata","Susceptible",1.549,1.82,0.271,6.43634221176584,"",19.715,19.685,19.3336,3003.81790835446,0.0300000000000011,4.66103246424035
"74","206","September_2023",0.3885,0.4019,0.4015,74,"Montipora capitata","Resistant",1.029,1.231,0.202,4.79756873349336,"",20.095,20.075,19.7065,4107.60139035062,0.019999999999996,4.16877821059022
"75","209","September_2023",0.3791,0.3939,0.3925,75,"Montipora capitata","Susceptible",2.529,2.958,0.429,10.1888959736072,"",19.695,19.625,19.3159,1895.77948877238,0.0700000000000003,6.87022423050787
"76","210","September_2023",0.3897,0.4047,0.4039,76,"Montipora capitata","Resistant",3.954,4.449,0.495,11.7564184310852,"",20.235,20.195,19.8453,1688.0396114115,0.0399999999999991,3.40239676177525
"77","211","September_2023",0.382,0.3962,0.3949,77,"Montipora capitata","Susceptible",1.251,1.455,0.204,4.84506941402299,"",19.81,19.745,19.428,4009.84967186846,0.0650000000000013,13.4157004669269
"78","212","September_2023",0.3869,0.4011,0.4002,78,"Montipora capitata","Resistant",1.102,1.256,0.154,3.65755240078206,"",20.055,20.01,19.6681,5377.3939085041,0.0449999999999982,12.3033097189192
"79","214","September_2023",0.383,0.3955,0.3946,79,"Montipora capitata","Resistant",1.324,1.568,0.244,5.79508302461573,"",19.775,19.73,19.392,3346.28510370408,0.0450000000000017,7.76520367505617
"80","219","September_2023",0.3827,0.3956,0.395,80,"Montipora capitata","Susceptible",0.918,1.047,0.129,3.06379389416159,"",19.78,19.75,19.3973,6331.13736435201,0.0300000000000011,9.79178137836542
"81","220","September_2023",0.3802,0.3941,0.3929,81,"Montipora capitata","Resistant",2.053,2.303,0.25,5.93758506620464,"",19.705,19.645,19.3248,3254.65652862681,0.0599999999999987,10.1051183824725
"82","221","September_2023",0.3789,0.3917,0.3906,82,"Montipora capitata","Susceptible",1.688,1.878,0.19,4.51256465031553,"",19.585,19.53,19.2061,4256.13846854406,0.0549999999999997,12.1881910314911
"83","225","September_2023",0.3864,0.4001,0.3996,83,"Porites compressa","Susceptible",1.489,1.691,0.202,4.79756873349335,"",20.005,19.98,19.6186,4089.27961011508,0.0249999999999986,5.21097276323852
"84","226","September_2023",0.3846,0.3976,0.3969,84,"Porites compressa","Resistant",2.701,2.915,0.214,5.08257281667117,"",19.88,19.845,19.4954,3835.73451934694,0.0350000000000001,6.88627615628012
"85","233","September_2023",0.392,0.4023,0.402,85,"Porites compressa","Susceptible",2.114,2.356,0.242,5.7475823440861,"",20.115,20.1,19.723,3431.52978404802,0.014999999999997,2.60979297067941
"86","234","September_2023",0.3842,0.3974,0.3959,86,"Porites compressa","Resistant",2.614,2.858,0.244,5.79508302461574,"",19.87,19.795,19.4858,3362.47123936452,0.0749999999999993,12.942006125093
"87","235","September_2023",0.3872,0.399,0.3981,87,"Porites compressa","Susceptible",1.083,1.227,0.144,3.42004899813388,"",19.95,19.905,19.5628,5720.0350084675,0.0450000000000017,13.1577062271785
"88","236","September_2023",0.3819,0.3939,0.3929,88,"Porites compressa","Resistant",1.849,2.072,0.223,5.29632587905455,"",19.695,19.645,19.3131,3646.50900285003,0.0499999999999972,9.44050671008233
"89","237","September_2023",0.3793,0.3921,0.3906,89,"Porites compressa","Susceptible",2.53,2.815,0.285,6.7688469754733,"",19.605,19.53,19.2257,2840.32126441382,0.0749999999999993,11.0801736649919
"90","238","September_2023",0.3838,0.3976,0.3962,90,"Porites compressa","Resistant",1.881,2.109,0.228,5.41507758037864,"",19.88,19.81,19.4962,3600.35469679028,0.0700000000000003,12.926869275824
"91","239","September_2023",0.3849,0.3969,0.3954,91,"Porites compressa","Susceptible",2.223,2.492,0.269,6.3888415312362,"",19.845,19.77,19.4601,3045.95127377257,0.0749999999999993,11.7392174517572
"92","240","September_2023",0.381,0.3934,0.3919,92,"Porites compressa","Resistant",2.681,3.035,0.354,8.40762045374578,"",19.67,19.595,19.289,2294.22820715061,0.0749999999999993,8.9204787980867
"93","241","September_2023",0.3864,0.3993,0.3982,93,"Porites compressa","Susceptible",2.502,2.722,0.22,5.22507485826009,"",19.965,19.91,19.5786,3747.04679475531,0.0549999999999997,10.5261649817423
"94","242","September_2023",0.3837,0.3957,0.3956,94,"Porites compressa","Resistant",2.287,2.499,0.212,5.03507213614154,"",19.785,19.78,19.4013,3853.231786043,0.00499999999999901,0.993034432239652
"95","243","September_2023",0.3783,0.3922,0.3907,95,"Porites compressa","Susceptible",1.844,2.008,0.164,3.89505580343025,"",19.61,19.535,19.2317,4937.46456291159,0.0749999999999993,19.2551798446505
"96","244","September_2023",0.3868,0.3997,0.399,96,"Porites compressa","Resistant",2.645,2.882,0.237,5.62883064276201,"",19.985,19.95,19.5982,3481.75335941238,0.0349999999999966,6.21798775292739
"97","247","September_2023",0.3849,0.3977,0.3962,97,"Porites compressa","Susceptible",2.169,2.431,0.262,6.22258914938247,"",19.885,19.81,19.5001,3133.75984367137,0.0750000000000028,12.0528606661177
"98","248","September_2023",0.3813,0.3928,0.3923,98,"Porites compressa","Resistant",2.076,2.283,0.207,4.91632043481744,"",19.64,19.615,19.2587,3917.2995851958,0.0250000000000021,5.08510385591465
"99","1","January_2024",0.3927,0.4077,0.4061,99,"Montipora capitata","Susceptible",4.9087,5.725,0.8163,32.4791729160174,"",20.385,20.305,19.9923,615.542152249222,0.0800000000000018,2.46311690900691
"100","2","January_2024",0.3829,0.3965,0.3951,100,"Montipora capitata","Resistant",5.5159,6.2762,0.7603,30.2510292393091,"",19.825,19.755,19.4421,642.692182345199,0.0700000000000003,2.31397085521441
"101","3","January_2024",0.386,0.4005,0.3993,101,"Montipora capitata","Susceptible",2.0158,2.4469,0.4311,17.1527274826597,"",20.025,19.965,19.639,1144.94910619047,0.0600000000000023,3.49798596524421
"102","4","January_2024",0.3817,0.3936,0.3925,102,"Montipora capitata","Resistant",4.1144,4.7292,0.6148,24.4618345078617,"",19.68,19.625,19.2983,788.914665978866,0.0549999999999997,2.24840046163845
"103","12","January_2024",0.3852,0.3981,0.3973,103,"Montipora capitata","Resistant",4.497,5.2599,0.7629,30.3544787671563,"",19.905,19.865,19.5198,643.061610437552,0.0400000000000027,1.31776270338343
"104","19","January_2024",0.3854,0.4009,0.3998,104,"Montipora capitata","Susceptible",2.4551,3.0008,0.5457,21.7124643639234,"",20.045,19.99,19.6596,905.452263293781,0.0549999999999997,2.53310720875082
"105","20","January_2024",0.3828,0.3971,0.3956,105,"Montipora capitata","Resistant",5.0109,5.8668,0.855899999999999,34.0547888016896,"",19.855,19.78,19.4722,571.790361508097,0.0749999999999993,2.20233343500513
"106","26","January_2024",0.3787,0.3915,0.3899,106,"Porites compressa","Resistant",4.8718,5.2716,0.3998,15.9073543204995,"",19.575,19.495,19.1963,1206.75629732231,0.0799999999999983,5.02912039225177
"107","27","January_2024",0.3871,0.3999,0.3993,107,"Porites compressa","Susceptible",7.0802,7.6993,0.6191,24.6329241116089,"",19.995,19.965,19.6079,796.00375136784,0.0299999999999976,1.21788220773429
"108","28","January_2024",0.3898,0.4016,0.4004,108,"Porites compressa","Resistant",4.1446,4.5583,0.4137,16.4604114116825,"",20.08,20.02,19.6902,1196.21554452917,0.0600000000000023,3.64510937785056
