"","ColonyID","Pmax","alpha","Rd","Ik","Pgross","X.x","Species.x","Phenotype.x","Timepoint.x","Without_wax_weight_g.x","With_wax_weight_g.x","delta.mass.g.x","surface.area.cm2.x","Notes.x","X.y","Species.y","Phenotype.y","Timepoint.y","Without_wax_weight_g.y","With_wax_weight_g.y","delta.mass.g.y","surface.area.cm2.y","Notes.y"
"1","1",1.06130402260194,0.00315215999284644,-0.409613760196077,336.691038846532,0.651690262405866,53,"Montipora capitata","Susceptible","September_2023",2.93,3.448,0.518,12.302676257176,"",53,"Montipora capitata","Susceptible","September_2023",2.93,3.448,0.518,12.302676257176,""
"2","19",1.92171874539522,0.00432336862552014,-0.739187421066339,444.495695798788,1.18253132432888,57,"Montipora capitata","Susceptible","September_2023",2.762,3.115,0.353,8.38387011348096,"",57,"Montipora capitata","Susceptible","September_2023",2.762,3.115,0.353,8.38387011348096,""
"3","2",1.72107183269977,0.00685108966669223,-0.592148139505789,251.211400876428,1.12892369319399,54,"Montipora capitata","Resistant","September_2023",2.856,3.267,0.411,9.76138984884044,"",54,"Montipora capitata","Resistant","September_2023",2.856,3.267,0.411,9.76138984884044,""
"4","20",2.87253977055977,0.0111185197823848,-0.87413360635136,258.356312421261,1.99840616420841,58,"Montipora capitata","Resistant","September_2023",2.054,2.405,0.351,8.33636943295132,"",58,"Montipora capitata","Resistant","September_2023",2.054,2.405,0.351,8.33636943295132,""
"5","201",1.40155203405351,0.00474219092009697,-0.507246222532585,295.549474424123,0.894305811520921,69,"Montipora capitata","Susceptible","September_2023",2.65,3.025,0.375,8.90637759930697,"",69,"Montipora capitata","Susceptible","September_2023",2.65,3.025,0.375,8.90637759930697,""
"6","202",1.46716458072808,0.00462723284276363,-0.548102972228799,317.071699346733,0.91906160849928,70,"Montipora capitata","Resistant","September_2023",3.236,3.66,0.424,10.0701442722831,"",70,"Montipora capitata","Resistant","September_2023",3.236,3.66,0.424,10.0701442722831,""
"7","203",2.03399800039693,0.00608964651773452,-0.682443200126046,334.00920635926,1.35155480027089,71,"Montipora capitata","Susceptible","September_2023",3.481,3.945,0.464,11.0201578828758,"",71,"Montipora capitata","Susceptible","September_2023",3.481,3.945,0.464,11.0201578828758,""
"8","204",3.11653435207515,0.00587894893442952,-0.757181663331256,530.117608918739,2.35935268874389,72,"Montipora capitata","Resistant","September_2023",2.606,2.988,0.382,9.0726299811607,"",72,"Montipora capitata","Resistant","September_2023",2.606,2.988,0.382,9.0726299811607,""
"9","205",2.06382358243544,0.00471602605968077,-0.597367650853063,437.619206577315,1.46645593158238,73,"Montipora capitata","Susceptible","September_2023",1.549,1.82,0.271,6.43634221176584,"",73,"Montipora capitata","Susceptible","September_2023",1.549,1.82,0.271,6.43634221176584,""
"10","206",2.18220122199286,0.00649147034436805,-0.725596676260137,336.164398237777,1.45660454573272,74,"Montipora capitata","Resistant","September_2023",1.029,1.231,0.202,4.79756873349336,"",74,"Montipora capitata","Resistant","September_2023",1.029,1.231,0.202,4.79756873349336,""
"11","209",1.62756274716986,0.00434195053740798,-0.370139372279861,374.845989871978,1.25742337489,75,"Montipora capitata","Susceptible","September_2023",2.529,2.958,0.429,10.1888959736072,"",75,"Montipora capitata","Susceptible","September_2023",2.529,2.958,0.429,10.1888959736072,""
"12","210",2.14969341297817,0.00976828100791122,-0.796684046315092,220.068752243835,1.35300936666308,76,"Montipora capitata","Resistant","September_2023",3.954,4.449,0.495,11.7564184310852,"",76,"Montipora capitata","Resistant","September_2023",3.954,4.449,0.495,11.7564184310852,""
"13","211",1.6539275625194,0.00522105913114503,-0.428027129155198,316.780086372376,1.22590043336421,77,"Montipora capitata","Susceptible","September_2023",1.251,1.455,0.204,4.84506941402299,"",77,"Montipora capitata","Susceptible","September_2023",1.251,1.455,0.204,4.84506941402299,""
"14","212",2.09988555432178,0.00817943875664215,-0.872317036540855,256.727339955514,1.22756851778092,78,"Montipora capitata","Resistant","September_2023",1.102,1.256,0.154,3.65755240078206,"",78,"Montipora capitata","Resistant","September_2023",1.102,1.256,0.154,3.65755240078206,""
"15","214",1.99008486533756,0.00604330029755581,-0.615019295053253,329.304315084664,1.37506557028431,79,"Montipora capitata","Resistant","September_2023",1.324,1.568,0.244,5.79508302461573,"",79,"Montipora capitata","Resistant","September_2023",1.324,1.568,0.244,5.79508302461573,""
"16","219",1.95429239160679,0.00622072777116963,-0.7632082764789,314.158160185708,1.19108411512789,80,"Montipora capitata","Susceptible","September_2023",0.918,1.047,0.129,3.06379389416159,"",80,"Montipora capitata","Susceptible","September_2023",0.918,1.047,0.129,3.06379389416159,""
"17","220",2.64244611675256,0.00802514134113277,-1.01011661641467,329.270975354506,1.63232950033788,81,"Montipora capitata","Resistant","September_2023",2.053,2.303,0.25,5.93758506620464,"",81,"Montipora capitata","Resistant","September_2023",2.053,2.303,0.25,5.93758506620464,""
"18","221",1.6511443754402,0.00524744253784599,-0.603529062582313,314.656971187717,1.04761531285789,82,"Montipora capitata","Susceptible","September_2023",1.688,1.878,0.19,4.51256465031553,"",82,"Montipora capitata","Susceptible","September_2023",1.688,1.878,0.19,4.51256465031553,""
"19","225",3.75653733876218,0.00796606426484047,-1.16882795864819,471.567541243958,2.58770938011398,83,"Porites compressa","Susceptible","September_2023",1.489,1.691,0.202,4.79756873349335,"",83,"Porites compressa","Susceptible","September_2023",1.489,1.691,0.202,4.79756873349335,""
"20","226",5.10409849872039,0.0104506239653984,-1.26795583582081,488.40131609556,3.83614266289958,84,"Porites compressa","Resistant","September_2023",2.701,2.915,0.214,5.08257281667117,"",84,"Porites compressa","Resistant","September_2023",2.701,2.915,0.214,5.08257281667117,""
"21","233",4.72817119831761,0.005613537658353,-1.54700029402052,842.280124598798,3.18117090429709,85,"Porites compressa","Susceptible","September_2023",2.114,2.356,0.242,5.7475823440861,"",85,"Porites compressa","Susceptible","September_2023",2.114,2.356,0.242,5.7475823440861,""
"22","234",4.59895558723138,0.00924231539731154,-0.948617009363841,497.597776047456,3.65033857786754,86,"Porites compressa","Resistant","September_2023",2.614,2.858,0.244,5.79508302461574,"",86,"Porites compressa","Resistant","September_2023",2.614,2.858,0.244,5.79508302461574,""
"23","235",4.26084042554242,0.00831065668826567,-1.18154571557926,512.695998086236,3.07929470996316,87,"Porites compressa","Susceptible","September_2023",1.083,1.227,0.144,3.42004899813388,"",87,"Porites compressa","Susceptible","September_2023",1.083,1.227,0.144,3.42004899813388,""
"24","236",2.60921566435385,0.00775596020466071,-0.86450687765957,336.414266641791,1.74470878669428,88,"Porites compressa","Resistant","September_2023",1.849,2.072,0.223,5.29632587905455,"",88,"Porites compressa","Resistant","September_2023",1.849,2.072,0.223,5.29632587905455,""
"25","237",5.94091706028797,-0.443901284554705,-1.16105190923462,-13.3834193930021,4.77986515105335,89,"Porites compressa","Susceptible","September_2023",2.53,2.815,0.285,6.7688469754733,"",89,"Porites compressa","Susceptible","September_2023",2.53,2.815,0.285,6.7688469754733,""
"26","238",3.64482107959901,0.00925590546088597,-1.12072181533382,393.783308937355,2.52409926426519,90,"Porites compressa","Resistant","September_2023",1.881,2.109,0.228,5.41507758037864,"",90,"Porites compressa","Resistant","September_2023",1.881,2.109,0.228,5.41507758037864,""
"27","239",2.58335652515848,0.00757152015097852,-0.901345830684759,341.193904743767,1.68201069447372,91,"Porites compressa","Susceptible","September_2023",2.223,2.492,0.269,6.3888415312362,"",91,"Porites compressa","Susceptible","September_2023",2.223,2.492,0.269,6.3888415312362,""
"28","240",3.93642904327479,0.00707392978042252,-0.975747419834839,556.469906468264,2.96068162343995,92,"Porites compressa","Resistant","September_2023",2.681,3.035,0.354,8.40762045374578,"",92,"Porites compressa","Resistant","September_2023",2.681,3.035,0.354,8.40762045374578,""
"29","241",4.49526234356789,0.00783127949685285,-1.22401791036862,574.013779660705,3.27124443319927,93,"Porites compressa","Susceptible","September_2023",2.502,2.722,0.22,5.22507485826009,"",93,"Porites compressa","Susceptible","September_2023",2.502,2.722,0.22,5.22507485826009,""
"30","242",4.17777345424786,0.0071247403032137,-1.03113942552759,586.37554162689,3.14663402872027,94,"Porites compressa","Resistant","September_2023",2.287,2.499,0.212,5.03507213614154,"",94,"Porites compressa","Resistant","September_2023",2.287,2.499,0.212,5.03507213614154,""
"31","243",3.90558052403207,0.00924264720788955,-1.03589453888106,422.560813605247,2.86968598515101,95,"Porites compressa","Susceptible","September_2023",1.844,2.008,0.164,3.89505580343025,"",95,"Porites compressa","Susceptible","September_2023",1.844,2.008,0.164,3.89505580343025,""
"32","244",5.94242983661257,0.00913755783318512,-1.2687735652725,650.330202565863,4.67365627134007,96,"Porites compressa","Resistant","September_2023",2.645,2.882,0.237,5.62883064276201,"",96,"Porites compressa","Resistant","September_2023",2.645,2.882,0.237,5.62883064276201,""
"33","247",2.76085009750539,0.00757133152005677,-0.893622216477309,364.645252977206,1.86722788102808,97,"Porites compressa","Susceptible","September_2023",2.169,2.431,0.262,6.22258914938247,"",97,"Porites compressa","Susceptible","September_2023",2.169,2.431,0.262,6.22258914938247,""
"34","248",4.7591173962448,0.00894893988768344,-1.16549890058002,531.807952224022,3.59361849566477,98,"Porites compressa","Resistant","September_2023",2.076,2.283,0.207,4.91632043481744,"",98,"Porites compressa","Resistant","September_2023",2.076,2.283,0.207,4.91632043481744,""
"35","26",3.04234267868617,0.00855809477540594,-0.93343195530859,355.49298746132,2.10891072337758,59,"Porites compressa","Resistant","September_2023",2.174,2.368,0.194,4.6075660113748,"",59,"Porites compressa","Resistant","September_2023",2.174,2.368,0.194,4.6075660113748,""
"36","27",2.70060437111548,0.00935392473159801,-0.837876176364522,288.71350247161,1.86272819475096,60,"Porites compressa","Susceptible","September_2023",2.733,3.043,0.31,7.36260548209376,"",60,"Porites compressa","Susceptible","September_2023",2.733,3.043,0.31,7.36260548209376,""
"37","28",2.81973774997054,0.00378516313650938,-0.684898947048834,744.944840758134,2.1348388029217,61,"Porites compressa","Resistant","September_2023",2.791,3.113,0.322,7.64760956527158,"",61,"Porites compressa","Resistant","September_2023",2.791,3.113,0.322,7.64760956527158,""
"38","29",5.47042948601785,0.00962228058388753,-1.07802110926013,568.516937157087,4.39240837675772,62,"Porites compressa","Susceptible","September_2023",2.337,2.529,0.192,4.56006533084516,"",62,"Porites compressa","Susceptible","September_2023",2.337,2.529,0.192,4.56006533084516,""
"39","3",1.4671424060724,0.00527375677509417,-0.409984669348398,278.196827923714,1.057157736724,55,"Montipora capitata","Susceptible","September_2023",2.226,2.609,0.383,9.09638032142552,"",55,"Montipora capitata","Susceptible","September_2023",2.226,2.609,0.383,9.09638032142552,""
"40","4",1.41080147621842,0.00626546978443405,-0.589158837908002,225.170900947191,0.821642638310416,56,"Montipora capitata","Resistant","September_2023",3.976,4.366,0.39,9.26263270327924,"",56,"Montipora capitata","Resistant","September_2023",3.976,4.366,0.39,9.26263270327924,""
"41","41",2.34897811930096,0.00853732298798526,-1.07909818237379,275.142234000836,1.26987993692717,63,"Porites compressa","Susceptible","September_2023",2.807,3.106,0.299,7.10135173918075,"",63,"Porites compressa","Susceptible","September_2023",2.807,3.106,0.299,7.10135173918075,""
"42","42",5.07178171894165,0.00929006074293411,-1.59025234650419,545.936335540021,3.48152937243746,64,"Porites compressa","Resistant","September_2023",1.548,1.707,0.159,3.77630410210615,"",64,"Porites compressa","Resistant","September_2023",1.548,1.707,0.159,3.77630410210615,""
"43","43",3.82656691662148,0.00653950298604856,-0.812545913406919,585.14644381769,3.01402100321456,65,"Porites compressa","Susceptible","September_2023",3.499,3.871,0.372,8.83512657851251,"",65,"Porites compressa","Susceptible","September_2023",3.499,3.871,0.372,8.83512657851251,""
"44","44",3.69793351859006,0.008510099836342,-0.971390600806875,434.534681108934,2.72654291778319,66,"Porites compressa","Resistant","September_2023",1.858,2.077,0.219,5.20132451799527,"",66,"Porites compressa","Resistant","September_2023",1.858,2.077,0.219,5.20132451799527,""
"45","45",2.72049728954495,0.00556135759158953,-0.72825543026488,489.178630350828,1.99224185928007,67,"Porites compressa","Susceptible","September_2023",2.338,2.587,0.249,5.91383472593983,"",67,"Porites compressa","Susceptible","September_2023",2.338,2.587,0.249,5.91383472593983,""
"46","46",1.93510936077202,0.00500554303867541,-0.417470013902184,386.593291840739,1.51763934686984,68,"Porites compressa","Resistant","September_2023",3.215,3.732,0.517,12.2789259169112,"",68,"Porites compressa","Resistant","September_2023",3.215,3.732,0.517,12.2789259169112,""
