"","ColonyID","Species","Phenotype","Timepoint","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes"
"165","204","Montipora capitata","Resistant","May_2024",2.4906,2.8873,0.3967,9.03870557081271,""
"166","205","Montipora capitata","Susceptible","May_2024",3.0598,4.332,1.2722,28.9867437035239,"May be overestimation"
"167","206","Montipora capitata","Resistant","May_2024",3.1889,3.687,0.4981,11.3490780056007,""
"168","209","Montipora capitata","Susceptible","May_2024",1.3849,1.7063,0.3214,7.32301479823344,""
"169","210","Montipora capitata","Resistant","May_2024",4.6381,5.8471,1.209,27.5467482609341,"May be overestimation"
"170","211","Montipora capitata","Susceptible","May_2024",6.1566,7.065,0.9084,20.6976560134264,""
"171","213","Montipora capitata","Susceptible","May_2024",2.5325,3.1507,0.6182,14.0855250412816,""
"172","214","Montipora capitata","Resistant","May_2024",2.8819,3.5277,0.6458,14.7143838105139,""
"173","219","Montipora capitata","Susceptible","May_2024",1.8615,2.2915,0.43,9.79743734673423,""
"174","220","Montipora capitata","Resistant","May_2024",2.0131,2.4521,0.439,10.0024999888752,""
"175","221","Montipora capitata","Susceptible","May_2024",2.4268,3.1679,0.7411,16.8857693434064,""
"176","225","Porites compressa","Susceptible","May_2024",2.1784,2.3916,0.2132,4.85770614493892,""
"177","233","Porites compressa","Susceptible","May_2024",4.7032,5.1296,0.4264,9.71541228987785,""
"178","234","Porites compressa","Resistant","May_2024",3.0958,3.3779,0.2821,6.42757459421796,""
"179","235","Porites compressa","Susceptible","May_2024",3.5993,3.9504,0.3511,7.99972151729858,""
"180","236","Porites compressa","Resistant","May_2024",1.6927,1.9149,0.2222,5.06276878707987,""
"181","237","Porites compressa","Susceptible","May_2024",3.2682,3.5918,0.3236,7.37314122186789,""
"182","238","Porites compressa","Resistant","May_2024",4.0777,4.3758,0.2981,6.79213040246854,""
"183","239","Porites compressa","Susceptible","May_2024",3.1115,3.4157,0.3042,6.93111730436408,""
"184","240","Porites compressa","Resistant","May_2024",3.7585,4.1141,0.355599999999999,8.10225283836903,""
"185","241","Porites compressa","Susceptible","May_2024",4.6449,5.0587,0.4138,9.42832459088052,""
"186","242","Porites compressa","Resistant","May_2024",5.0434,5.5827,0.5393,12.287809211846,""
"187","243","Porites compressa","Susceptible","May_2024",3.1884,3.4815,0.2931,6.67820671239023,""
"188","244","Porites compressa","Resistant","May_2024",2.6045,2.895,0.2905,6.61896639354952,""
"189","247","Porites compressa","Susceptible","May_2024",4.2585,4.6917,0.4332,9.87034850838434,""
"190","248","Porites compressa","Resistant","May_2024",3.3045,3.6186,0.3141,7.15668621071911,""
"191","1","Montipora capitata","Susceptible","October_2024",3.3684,3.9174,0.549,12.5088211705979,""
"192","2","Montipora capitata","Resistant","October_2024",4.1389,4.8378,0.6989,15.9242533991455,""
"193","3","Montipora capitata","Susceptible","October_2024",3.3883,3.8112,0.4229,9.63566570682303,""
"194","4","Montipora capitata","Resistant","October_2024",5.1658,5.8607,0.6949,15.8331144470828,""
"195","12","Montipora capitata","Resistant","October_2024",4.1583,4.741,0.5827,13.2766668417257,""
"196","19","Montipora capitata","Susceptible","October_2024",2.4425,2.9485,0.506,11.5290774359245,""
"197","20","Montipora capitata","Resistant","October_2024",3.8951,4.5296,0.634500000000001,14.4569162709369,""
"198","26","Porites compressa","Resistant","October_2024",4.7033,5.2417,0.5384,12.2673029476319,""
"199","27","Porites compressa","Susceptible","October_2024",4.4456,4.9307,0.4851,11.0528764113971,""
"200","28","Porites compressa","Resistant","October_2024",3.3026,3.7628,0.4602,10.4855364348072,""
"201","29","Porites compressa","Susceptible","October_2024",3.0881,3.4493,0.3612,8.22984737125675,""
"202","41","Porites compressa","Susceptible","October_2024",2.7768,3.1339,0.3571,8.13642994539254,""
"203","42","Porites compressa","Resistant","October_2024",6.7254,7.3365,0.6111,13.9237534013704,""
"204","43","Porites compressa","Susceptible","October_2024",5.5479,6.0774,0.5295,12.0645187792925,""
"205","44","Porites compressa","Resistant","October_2024",3.9623,4.4122,0.4499,10.2508536332459,""
"206","201","Montipora capitata","Susceptible","October_2024",3.0172,3.4133,0.3961,9.02503472800332,""
"207","202","Montipora capitata","Resistant","October_2024",4.3985,4.9623,0.5638,12.8460352932297,""
"208","203","Montipora capitata","Susceptible","October_2024",1.9879,2.3238,0.3359,7.65339349946052,""
"209","204","Montipora capitata","Resistant","October_2024",4.2963,4.8608,0.564500000000001,12.8619846098406,""
"210","205","Montipora capitata","Susceptible","October_2024",3.9914,4.6681,0.6767,15.4184322151978,""
"211","206","Montipora capitata","Resistant","October_2024",6.9817,8.1889,1.2072,27.5057357325059,"May be an overestimation"
"212","209","Montipora capitata","Susceptible","October_2024",3.2054,3.8081,0.6027,13.7323616020389,""
"213","210","Montipora capitata","Resistant","October_2024",6.0597,7.0884,1.0287,23.4386599967104,""
"214","211","Montipora capitata","Susceptible","October_2024",6.7787,7.8706,1.0919,24.8786554393002,""
"215","213","Montipora capitata","Susceptible","October_2024",1.7448,2.1297,0.3849,8.76984566222792,""
"216","214","Montipora capitata","Resistant","October_2024",3.128,3.7348,0.6068,13.8257790279031,""
"217","219","Montipora capitata","Susceptible","October_2024",4.564,5.4802,0.9162,20.8753769699486,""
"218","220","Montipora capitata","Resistant","October_2024",2.962,3.4617,0.4997,11.3855335864258,""
"219","221","Montipora capitata","Susceptible","October_2024",6.709,8.1361,1.4271,32.5160996221498,"May be an overestimation"
"220","225","Porites compressa","Susceptible","October_2024",3.6632,4.0133,0.3501,7.97693677928292,""
"221","226","Porites compressa","Resistant","October_2024",7.5408,8.2515,0.7107,16.1931133077303,""
"222","233","Porites compressa","Susceptible","October_2024",4.1879,4.5387,0.3508,7.99288609589388,""
"223","234","Porites compressa","Resistant","October_2024",3.9883,4.3867,0.3984,9.07743962543934,""
"224","235","Porites compressa","Susceptible","October_2024",5.2037,5.6443,0.4406,10.0389555697002,""
"225","236","Porites compressa","Resistant","October_2024",3.5941,3.9309,0.3368,7.67389976367461,""
"226","237","Porites compressa","Susceptible","October_2024",3.7849,4.2897,0.5048,11.5017357503057,""
"227","238","Porites compressa","Resistant","October_2024",4.0128,4.5805,0.567699999999999,12.9348957714907,""
"228","239","Porites compressa","Susceptible","October_2024",6.5392,7.2847,0.7455,16.9860221906753,""
"229","240","Porites compressa","Resistant","October_2024",5.5888,6.1386,0.5498,12.5270489610104,""
"230","241","Porites compressa","Susceptible","October_2024",4.8257,5.2982,0.472499999999999,10.7657887123998,""
"231","242","Porites compressa","Resistant","October_2024",4.2634,4.8541,0.5907,13.4589447458509,""
"232","243","Porites compressa","Susceptible","October_2024",8.2341,8.9555,0.721400000000001,16.4369100044979,""
"233","244","Porites compressa","Resistant","October_2024",9.8881,10.6889,0.800800000000001,18.2460182029413,""
"234","247","Porites compressa","Susceptible","October_2024",3.8102,4.2292,0.419,9.54680522856194,""
"235","248","Porites compressa","Resistant","October_2024",8.0724,8.8781,0.8057,18.3576634192181,""
"236","1","Montipora capitata","Susceptible","January_2025",1.9665,2.3359,0.3694,8.41668222298517,""
"237","2","Montipora capitata","Resistant","January_2025",3.0887,3.7938,0.7051,16.0655187748426,""
"238","3","Montipora capitata","Susceptible","January_2025",0.9179,1.0693,0.1514,3.44960933557107,""
"239","4","Montipora capitata","Resistant","January_2025",1.6692,1.9726,0.3034,6.91288951395154,""
"240","12","Montipora capitata","Resistant","January_2025",1.2619,1.484,0.2221,5.0604903132783,""
"241","19","Montipora capitata","Susceptible","January_2025",2.7859,3.2644,0.4785,10.9024971404938,""
"242","20","Montipora capitata","Resistant","January_2025",1.3102,1.6292,0.319,7.26833142699585,""
"243","26","Porites compressa","Resistant","January_2025",7.0388,7.7191,0.6803,15.5004572720542,""
"244","27","Porites compressa","Susceptible","January_2025",7.277,7.9428,0.6658,15.1700785708271,""
"245","28","Porites compressa","Resistant","January_2025",3.7392,4.2222,0.483,11.0050284615643,""
"246","29","Porites compressa","Susceptible","January_2025",2.2552,2.5622,0.307,6.99491457080792,""
"247","43","Porites compressa","Susceptible","January_2025",5.2994,5.8456,0.5462,12.445023904154,""
"248","44","Porites compressa","Resistant","January_2025",2.2447,2.5959,0.3512,8.00199999110014,""
"249","201","Montipora capitata","Susceptible","January_2025",4.9241,5.5738,0.6497,14.8032442887749,""
"250","202","Montipora capitata","Resistant","January_2025",1.8253,2.1015,0.2762,6.29314463992557,""
"251","203","Montipora capitata","Susceptible","January_2025",1.7531,2.1704,0.4173,9.50807117393532,""
"252","204","Montipora capitata","Resistant","January_2025",3.417,4.0071,0.590100000000001,13.4452739030416,""
"253","205","Montipora capitata","Susceptible","January_2025",1.3191,1.5862,0.2671,6.08580352398305,""
"254","206","Montipora capitata","Resistant","January_2025",1.2509,1.596,0.3451,7.86301308920461,""
"255","209","Montipora capitata","Susceptible","January_2025",0.9423,1.1999,0.2576,5.86934851283427,""
"256","210","Montipora capitata","Resistant","January_2025",0.7689,1.0057,0.2368,5.39542596210852,""
"257","211","Montipora capitata","Susceptible","January_2025",1.6053,1.9811,0.3758,8.5625045462854,""
"258","213","Montipora capitata","Susceptible","January_2025",1.7415,2.1619,0.4204,9.57870386178388,""
"259","214","Montipora capitata","Resistant","January_2025",1.0297,1.2761,0.2464,5.61415944705887,""
"260","219","Montipora capitata","Susceptible","January_2025",1.2186,1.435,0.2164,4.93061730658904,""
"261","220","Montipora capitata","Resistant","January_2025",1.0966,1.3127,0.2161,4.92378188518434,""
"262","221","Montipora capitata","Susceptible","January_2025",0.8228,1.0371,0.2143,4.88276935675615,""
"263","225","Porites compressa","Susceptible","January_2025",2.9452,3.2948,0.3496,7.96554441027508,""
"264","226","Porites compressa","Resistant","January_2025",3.5412,3.9831,0.4419,10.0685757291206,""
"265","233","Porites compressa","Susceptible","January_2025",2.3022,2.5779,0.2757,6.28175227091773,""
"266","234","Porites compressa","Resistant","January_2025",6.1887,6.9101,0.7214,16.4369100044978,""
"267","235","Porites compressa","Susceptible","January_2025",4.9442,5.3785,0.434299999999999,9.89541172020155,""
"268","236","Porites compressa","Resistant","January_2025",4.2432,4.7537,0.5105,11.6316087569949,""
"269","237","Porites compressa","Susceptible","January_2025",3.0731,3.4325,0.3594,8.18883484282856,""
"270","238","Porites compressa","Resistant","January_2025",3.6948,4.1993,0.5045,11.494900328901,""
"271","239","Porites compressa","Susceptible","January_2025",2.9791,3.3535,0.3744,8.53060591306347,""
"272","240","Porites compressa","Resistant","January_2025",2.6952,3.0507,0.3555,8.09997436456748,""
"273","241","Porites compressa","Susceptible","January_2025",3.6646,4.0832,0.4186,9.53769133335568,""
"274","242","Porites compressa","Resistant","January_2025",3.7539,4.1922,0.4383,9.98655067226421,""
"275","243","Porites compressa","Susceptible","January_2025",4.3756,4.8705,0.494899999999999,11.2761668439506,""
"276","244","Porites compressa","Resistant","January_2025",4.9061,5.3914,0.4853,11.0574333590003,""
"277","247","Porites compressa","Susceptible","January_2025",4.1734,4.6302,0.4568,10.4080683255539,""
"278","248","Porites compressa","Resistant","January_2025",7.0531,7.7461,0.693000000000001,15.7898234448531,""
"279","1","Montipora capitata","Susceptible","October_2025",6.7896,7.2,0.4104,9.35085648162727,"Modified wax weight, previous weight was overestimation"
"280","2","Montipora capitata","Resistant","October_2025",3.3506,4,0.6494,14.7964088673702,"Modified wax weight, previous weight was overestimation"
"281","3","Montipora capitata","Susceptible","October_2025",1.4843,2.1265,0.6422,14.6323587536575,""
"282","4","Montipora capitata","Resistant","October_2025",7.1726,8.3196,1.147,26.1340945039631,"May be an overestimation"
"283","12","Montipora capitata","Resistant","October_2025",2.7166,3.1647,0.4481,10.2098411048177,""
"284","19","Montipora capitata","Susceptible","October_2025",4.4934,5.1,0.606599999999999,13.8212220802999,"Modified wax weight, previous weight was overestimation"
"285","20","Montipora capitata","Resistant","October_2025",5.6296,6.7423,1.1127,25.352577990026,"May be an overestimation"
"286","26","Porites compressa","Resistant","October_2025",5.3606,5.8716,0.511,11.6430011260028,""
"287","27","Porites compressa","Susceptible","October_2025",8.6021,9.3335,0.731400000000001,16.6647573846545,""
"288","28","Porites compressa","Resistant","October_2025",2.6409,2.9285,0.2876,6.55289065330411,""
"289","29","Porites compressa","Susceptible","October_2025",3.901,4.403,0.502,11.4379384838618,""
"290","41","Porites compressa","Susceptible","October_2025",4.4487,4.8812,0.4325,9.85439919177338,""
"291","42","Porites compressa","Resistant","October_2025",5.9902,6.7383,0.7481,17.045262509516,""
"292","43","Porites compressa","Susceptible","October_2025",4.1733,4.6989,0.5256,11.9756583010314,""
"293","44","Porites compressa","Resistant","October_2025",3.4543,3.8723,0.418,9.5240204905463,""
"294","201","Montipora capitata","Susceptible","October_2025",3.8172,4.5268,0.7096,16.168050095913,"May be an overestimation"
"295","202","Montipora capitata","Resistant","October_2025",2.7876,3.2882,0.5006,11.4060398506399,"May be an overestimation"
"296","203","Montipora capitata","Susceptible","October_2025",3.119,3.6,0.481,10.9594589855329,"Modified wax weight, previous weight was overestimation"
"297","204","Montipora capitata","Resistant","October_2025",2.0119,2.3979,0.386,8.79490887404514,""
"298","205","Montipora capitata","Susceptible","October_2025",3.0924,3.9459,0.8535,19.4467738963666,""
"299","206","Montipora capitata","Resistant","October_2025",2.8401,3.3,0.4599,10.4787010134025,"Modified wax weight, previous weight was overestimation"
"300","209","Montipora capitata","Susceptible","October_2025",2.6935,3.2544,0.5609,12.7799595529843,""
"301","210","Montipora capitata","Resistant","October_2025",5.8454,6.7144,0.869000000000001,19.7999373356094,"May be an overestimation"
"302","211","Montipora capitata","Susceptible","October_2025",1.4755,1.9621,0.4866,11.0870535184206,""
"303","213","Montipora capitata","Susceptible","October_2025",2.3337,3.2647,0.931,21.2125910925804,""
"304","214","Montipora capitata","Resistant","October_2025",3.5887,3.9145,0.3258,7.42326764550235,""
"305","221","Montipora capitata","Susceptible","October_2025",6.3825,7.1347,0.752199999999999,17.1386799353802,"May be an overestimation"
"306","225","Porites compressa","Susceptible","October_2025",3.4926,3.8635,0.3709,8.45085933000867,""
"307","226","Porites compressa","Resistant","October_2025",3.5857,4.0994,0.5137,11.704519918645,""
"308","233","Porites compressa","Susceptible","October_2025",2.8718,3.2154,0.3436,7.82883598218111,""
"309","234","Porites compressa","Resistant","October_2025",6.4252,7.1639,0.7387,16.8310859721688,""
"310","235","Porites compressa","Susceptible","October_2025",3.2737,3.6328,0.3591,8.18199942142386,""
"311","236","Porites compressa","Resistant","October_2025",7.2938,8.1209,0.827100000000001,18.8452568127532,""
"312","237","Porites compressa","Susceptible","October_2025",2.491,2.7665,0.2755,6.2771953233146,""
"313","238","Porites compressa","Resistant","October_2025",3.7753,4.209,0.4337,9.88174087739216,""
"314","239","Porites compressa","Susceptible","October_2025",3.099,3.4298,0.3308,7.53719133558065,""
"315","240","Porites compressa","Resistant","October_2025",7.0386,7.6926,0.654,14.9012186622423,""
"316","241","Porites compressa","Susceptible","October_2025",3.0255,3.3616,0.3361,7.65795044706366,""
"317","242","Porites compressa","Resistant","October_2025",2.1633,2.4746,0.3113,7.09288894427527,""
"318","243","Porites compressa","Susceptible","October_2025",3.7939,4.1396,0.3457,7.876683932014,""
"319","244","Porites compressa","Resistant","October_2025",6.6574,7.3389,0.6815,15.527798957673,"May be an overestimation"
"320","247","Porites compressa","Susceptible","October_2025",4.867,5.3772,0.5102,11.6247733355902,""
"321","248","Porites compressa","Resistant","October_2025",6.7742,7.5682,0.794,18.0910819844348,""
